incident_id,title,type,severity,area_id,reported_at,reporter_id,address,status,msg,latitude,longitude,reviewed_at,reviewer_id,review_status,review_note
1,馬太鞍溪土石流災情,土石流,5,花蓮縣光復鄉,2024-10-07 08:30:00,15,花蓮縣光復鄉馬太鞍溪,Occurring,馬太鞍溪上游發生大規模土石流，造成道路中斷，多戶民宅受損,23.654321,121.456789,2024-10-07 10:00:00,4,Verified,已確認災情，啟動應變機制
2,光復鄉自來水中斷,公共設施,4,花蓮縣光復鄉,2024-10-07 09:15:00,15,花蓮縣光復鄉馬錫山,Occurring,強降雨導致自來水系統受損，多個區域停水,23.655432,121.457890,2024-10-07 11:00:00,4,Verified,已通知自來水公司搶修
3,富里鄉道路坍方,道路災害,4,花蓮縣富里鄉,2024-10-07 10:20:00,16,花蓮縣富里鄉台9線,Occurring,台9線部分路段因土石坍方封閉，影響交通,23.175432,121.256789,2024-10-07 12:00:00,4,Verified,已派員清理，預計明日恢復
4,壽豐鄉淹水災情,水災,3,花蓮縣壽豐鄉,2024-10-07 11:45:00,10,花蓮縣壽豐鄉臨時醫療站,Occurring,低窪地區積水嚴重，部分民宅進水,23.876543,121.567890,2024-10-07 13:30:00,4,Verified,已設置臨時避難所
5,玉里鎮橋樑損壞,橋樑災害,5,花蓮縣玉里鎮,2024-10-08 08:00:00,17,花蓮縣玉里鎮玉里大橋,Occurring,橋樑結構受損，暫時封閉通行,23.332109,121.312345,2024-10-08 09:30:00,4,Verified,已進行安全評估
6,光復鄉堰塞湖形成,堰塞湖,5,花蓮縣光復鄉,2024-10-08 09:30:00,11,花蓮縣光復鄉馬太鞍溪上游,Occurring,土石流阻塞河道形成堰塞湖，有潰堤風險,23.654321,121.456789,2024-10-08 11:00:00,4,Verified,緊急處理中，需挖土機支援
7,瑞穗鄉山區道路中斷,道路災害,3,花蓮縣瑞穗鄉,2024-10-08 14:20:00,18,花蓮縣瑞穗鄉紅葉村,Occurring,山區道路多處落石，車輛無法通行,23.498765,121.378901,2024-10-08 16:00:00,4,Verified,已派員清理
8,鳳林鎮停電,公共設施,4,花蓮縣鳳林鎮,2024-10-08 15:45:00,19,花蓮縣鳳林鎮,Occurring,強風導致電線桿倒塌，部分區域停電,23.745678,121.445678,2024-10-08 17:30:00,4,Verified,台電已派員搶修
9,光復鄉避難所需求,避難需求,3,花蓮縣光復鄉,2024-10-09 08:15:00,15,花蓮縣光復鄉社區活動中心,Occurring,避難所收容人數增加，物資需求量大,23.654321,121.456789,2024-10-09 10:00:00,4,Verified,已協調物資支援
10,卓溪鄉通訊中斷,通訊災害,4,花蓮縣卓溪鄉,2024-10-09 10:30:00,26,花蓮縣卓溪鄉,Occurring,基地台受損，部分區域通訊不良,23.312345,121.234567,2024-10-09 12:00:00,4,Verified,已通知電信公司
